Filename,Particle,Size,SizeSD,Lens,Motion,FPS,FrameDrop,LaserCurrent,Flags
Q_05,Polystyrene,1.053,0.01,Immersion,Brownian,24.27,0,N/A,None
T_00,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,100mA,None
T_01,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,80mA,None
T_02,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,80mA,None
T_03,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,80mA,None
T_04,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,80mA,None
T_05,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,60mA,None
T_06,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,60mA,None
V_00,Polystyrene,2.061,0.024,Immersion,Brownian,40,4,N/A,Dried
V_01,Polystyrene,2.061,0.024,Immersion,Brownian,40,4,N/A,Dried. last 100 ruined
V_02,Polystyrene,2.061,0.024,Immersion,Brownian,40,3,N/A,Dried
V_03,Polystyrene,2.061,0.024,Immersion,Brownian,40,4,N/A,Dried
V_04,Polystyrene,2.061,0.024,Immersion,Brownian,40,8,N/A,Dried. 3 particles
V_05,Polystyrene,2.061,0.024,Immersion,Brownian,20,0,N/A,Dried. 3 particles
W_00,Polystyrene,2.061,0.024,Immersion,Trapped,40,4,100mA,None
W_01,Polystyrene,2.061,0.024,Immersion,Trapped,30,1,100mA,None
W_02,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,100mA,None
W_03,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,95mA,None
W_04,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,95mA,None
W_05,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,95mA,None
W_06,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,90mA,None
W_07,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,90mA,None
W_08,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,90mA,None
W_09,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,85mA,None
W_10,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,85mA,None
W_11,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,85mA,None
W_12,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,80mA,None
W_13,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,80mA,None
W_14,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,80mA,None
W_15,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,75mA,None
W_16,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,75mA,None
W_17,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,75mA,None
W_18,Polystyrene,2.061,0.024,Immersion,Trapped,30,1,70mA,None
W_19,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,70mA,None
W_20,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,70mA,None
W_21,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,65mA,None
W_22,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,65mA,None
W_23,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,65mA,None
W_24,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,60mA,None
W_25,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,60mA,None
W_26,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,60mA,None
W_27,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,55mA,None
W_28,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,55mA,None
W_29,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,55mA,None
W_30,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,50mA,None
W_31,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,50mA,None
W_32,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,50mA,None
W_33,Polystyrene,2.061,0.024,Immersion,Trapped,30,1,45mA,None
W_34,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,45mA,None
W_35,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,45mA,None
W_36,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,40mA,None
W_37,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,40mA,None
W_38,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,40mA,None
W_39,Polystyrene,2.061,0.024,Immersion,Trapped,30,1,35mA,None
W_40,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,35mA,None
W_41,Polystyrene,2.061,0.024,Immersion,Trapped,30,0,30mA,None
X_00,Yeast,N/A,N/A,Immersion,Brownian,30,0,N/A,None
X_01,Yeast,N/A,N/A,Immersion,Trapped,30,50,100mA,None
X_02,Yeast,N/A,N/A,Immersion,Trapped,30,1,100mA,None
X_03,Yeast,N/A,N/A,Immersion,Brownian,30,0,N/A,None
X_04,Yeast,N/A,N/A,Immersion,Brownian,30,0,N/A,None
X_05,Yeast,N/A,N/A,Immersion,Trapped,30,0,100mA,None
X_06,Yeast,N/A,N/A,Immersion,Trapped,30,0,100mA,None
X_07,Yeast,N/A,N/A,Immersion,Brownian,30,0,N/A,None
Y_00,Polystyrene,2.061,0.024,Immersion,Brownian,30,4,N/A,None
Y_01,Polystyrene,2.061,0.024,Immersion,Brownian,30,0,N/A,None
Y_02,Polystyrene,2.061,0.024,Immersion,Brownian,30,0,N/A,None
Y_03,Polystyrene,2.061,0.024,Immersion,Brownian,30,?,N/A,None
Y_04,Polystyrene,2.061,0.024,Immersion,Brownian,30,1,N/A,None
Y_05,Polystyrene,2.061,0.024,Immersion,Brownian,30,0,N/A,None
Z_00,Milk,N/A,N/A,Immersion,Brownian,30,?,N/A,None
